"created_at","id","text"
"Sun Feb 22 10:12:46 +0000 2026","tweet-2025514092522557603","pskot aning hilanat oyy"
"Sun Feb 22 10:04:33 +0000 2026","tweet-2025512025586327915","Sana naman bigyan nyo si Sergio Veloso ng Lagnat for 1 week. Yung di muna sya makakaattend ng game. Kulamin nyo na sino mangkukulam dyan! Bwuahahahahaahha"
"Sun Feb 22 09:55:08 +0000 2026","tweet-2025509653170532559","lord ayoko na'po pagod na pagod na'po ako:&lt;"
"Sun Feb 22 09:50:57 +0000 2026","tweet-2025508600194728195","nawa'y layuan ako ng ubo't sipon gusto ko pang magfoodtrip sa field demoooooooooo pisting yawa"
"Sun Feb 22 09:42:08 +0000 2026","tweet-2025506382410326107","news: isang linggo ka na bang may ubo't sipon?

me: mag 2 months na kase sa'kin"
"Sun Feb 22 09:18:42 +0000 2026","tweet-2025500486804373636","@lezzgoNationalU Diba ang Gaga hayok yung bata na manalo tas binigay sa pagod na pagod ng pacia"
"Sun Feb 22 09:03:53 +0000 2026","tweet-2025496758449734007","PAGOD NA PAGOD SI YTANG TANGINA HHAHAHAHAHAHA 😭 https://t.co/0vWWedJLEJ"
"Sun Feb 22 09:02:36 +0000 2026","tweet-2025496433462526264","pagod na pagod si donna de leon kaka approach wala pa ring bigay si taks jusko po"
"Sun Feb 22 09:00:52 +0000 2026","tweet-2025495999142330685","Hindi ko alam kung yung init ng katawan ko is lagnat or inheat Kang ako eh haha"
"Sun Feb 22 08:59:27 +0000 2026","tweet-2025495640487465431","@rrukklover TREW! or george and primo pagod na pagod na ako scene, alone/together raf begging tin, never not love you sagutan haha lahat na"
"Sun Feb 22 08:43:11 +0000 2026","tweet-2025491546905403827","pagod na pagod na ‘ko"
"Sun Feb 22 08:41:52 +0000 2026","tweet-2025491218554388576","1~

God:
“Check niyo si K. Pagod na pagod ‘yan last year, pero hindi sumuko.”

Angel 1:
“Lord, she cried a lot but she still chose to believe in You.”

Angel 2:
“She’s healing. Slowly. And she’s brave enough to leave what hurts her.”"
"Sun Feb 22 08:40:53 +0000 2026","tweet-2025490967042904342","the bluetooth device is connected successfully. walang lagnat pero may hangover. PURRRR https://t.co/qIj64uYI3Y"
"Sun Feb 22 08:30:59 +0000 2026","tweet-2025488478293889468","Pagod na pagod na sa’yo"
