"created_at","id","text"
"Sun Feb 15 03:35:05 +0000 2026","tweet-2022877297108488506","PUTANG INAAAAAAAA THANK YOU DYUSKO. THANK YOUUUU. PAGOD NA PAGOD NA AKO LUMIPAD HAHAHAH 😭😭😭😭😭😭😭"
"Tue Feb 17 10:00:23 +0000 2026","tweet-2023699036403101971","Kala mo talaga pagod na pagod si Jimenez at Adorador! Teh ilan lang pinuntos niyoooo #PVL2026"
"Tue Feb 10 13:16:50 +0000 2026","tweet-2021211760951169164","Kasalanan lahat to ng cs ng choco. Lala, pagod na pagod si Eya at Sisi kasi hindi naman threat sa Opp si Kat. Oo mag c chip in ng points pero hindi naman kayang pumuntos ng madami para mabawasan pagod ng dalawa."
"Thu Feb 19 14:29:26 +0000 2026","tweet-2024491522956415216","Arrived at Baguio around 7am
Had a meeting with Brgy Cap. around 9am-11am
SLU Errands plus Tutoring for Article Publishing around 1pm-5pm
Master Class by 6-9pm

Leave Baguio by 11pm!
Pagod na pagod katawang lupa ko and utak https://t.co/XZicddVHZT"
"Sun Feb 15 12:33:48 +0000 2026","tweet-2023012870586605866","@nxxkacey okay pa, nahihirapan huminga sa kaba 

ASHLEY ULTIM8 BIGJUMP
#AshRaveUltim8Love"
"Sun Feb 15 02:50:19 +0000 2026","tweet-2022866032160133384","Kakainom ko lang ng paracetamol an hour ago pero, deym, parang inaapoy na naman ako ng lagnat ngayon.

Like, ahhhhhhhh. 

Antin antin antin, our mutyaaaa. The woman that you are. Keep on blooming, keep on shining 🫶🏽🫶🏽 https://t.co/9qGWDzyT1g"
"Fri Feb 13 01:15:21 +0000 2026","tweet-2022117355602821523","@seductivesister ginawa atang vitamins yung dapat pang lagnat lang"
"Wed Feb 11 17:04:30 +0000 2026","tweet-2021631440698724511","@cutesymaee pagod na pagod na siya diyan pero gora pa rin siya 😭 🤏"
"Mon Feb 16 03:41:59 +0000 2026","tweet-2023241419616317564","Ang lala. Half day sa duty dahil ng ubo at sipon :&lt;&lt;&lt;&lt;&lt;&lt;"
"Tue Feb 17 04:38:45 +0000 2026","tweet-2023618094334415276","Minsan tlaga mapapaisip kna lng tlaga saan sya kumukuha ng energy..khapon whole day yung mga ganap nya frm morning to her CNY party at night,tpos knina nkpag gym pa nga at now nsa ST naman..awa nlang tlaga sa mga konti galaw pagod na pagod na at nag rereklamo 😭😭"
"Mon Feb 09 06:35:19 +0000 2026","tweet-2020748327554617567","Ayusin niyo please lang. Kayo na muna mapagkakatiwalaan ni Cella as of now. Pagod na pagod na ang baby ko :( Sana man lang mapanagot na yang punyetang Kenneth na 'yan. 

#JonaxxTTVEKab15 https://t.co/KzThN3u3hB"
"Tue Feb 10 01:26:42 +0000 2026","tweet-2021033049690169716","“pagod na pagod na pagod na pagod na pagod na ako”"
"Thu Feb 19 12:25:00 +0000 2026","tweet-2024460207087337575","thank you GOD huhu pagod na PAGOD na ko sa overextension ng winter!!! https://t.co/CXeZ4BNlmC"
"Thu Feb 12 12:08:32 +0000 2026","tweet-2021919347976155409","stepping out of the dungeon for a moment to meet up with le boss. sana masort out na namen un relocation ng company landline and wifi services kasi pagod na pagod na kami ni boss magpabalik balik sa Du business center sa totoo lang😭 https://t.co/XkcBVvPwbU"
